Time (s),Red,IR
0.000,342.0,1134.0
0.010,346.0,1120.0
0.020,337.0,1128.0
0.030,340.0,1131.0
0.040,347.0,1120.0
0.050,348.0,1125.0
0.060,355.0,1116.0
0.070,351.0,1112.0
0.080,350.0,1107.0
0.090,339.0,1117.0
0.100,345.0,1122.0
0.110,331.0,1124.0
0.120,335.0,1122.0
0.130,318.0,1121.0
0.140,321.0,1137.0
0.150,320.0,1119.0
0.160,316.0,1124.0
0.170,343.0,1115.0
0.180,341.0,1086.0
0.190,368.0,1091.0
0.200,375.0,1082.0
0.210,365.0,1102.0
0.220,371.0,1107.0
0.230,361.0,1116.0
0.240,380.0,1110.0
0.250,357.0,1095.0
0.260,342.0,1108.0
0.270,331.0,1098.0
0.280,298.0,1115.0
0.290,308.0,1128.0
0.300,331.0,1112.0
0.310,340.0,1121.0
0.320,326.0,1110.0
0.330,328.0,1120.0
0.340,326.0,1127.0
0.350,337.0,1127.0
0.360,332.0,1137.0
0.370,330.0,1156.0
0.380,324.0,1179.0
0.390,345.0,1379.0
0.400,381.0,1478.0
0.410,408.0,1539.0
0.420,450.0,1639.0
0.430,487.0,1799.0
0.440,510.0,1858.0
0.450,508.0,1823.0
0.460,494.0,1749.0
0.470,480.0,1646.0
0.480,443.0,1580.0
0.490,430.0,1557.0
0.500,434.0,1573.0
0.510,421.0,1504.0
0.520,390.0,1412.0
0.530,380.0,1409.0
0.540,407.0,1421.0
0.550,421.0,1686.0
0.560,740.0,5014.0
0.570,2235.0,10004.0
0.580,3642.0,13918.0
0.590,4931.0,18278.0
0.600,6240.0,28397.0
0.610,10913.0,39120.0
0.620,13941.0,43868.0
0.630,15243.0,45878.0
0.640,15971.0,52188.0
0.650,20326.0,82598.0
0.660,28513.0,97239.0
0.670,29459.0,102748.0
0.680,30288.0,107005.0
0.690,30957.0,109874.0
0.700,31307.0,111456.0
0.710,31543.0,112378.0
0.720,31670.0,112937.0
0.730,31715.0,113066.0
0.740,31690.0,112915.0
0.750,31596.0,112600.0
0.760,31503.0,112317.0
0.770,31559.0,112463.0
0.780,31651.0,112790.0
0.790,31781.0,113173.0
0.800,31823.0,113223.0
0.810,31842.0,113218.0
0.820,31876.0,113361.0
0.830,31909.0,113392.0
0.840,31917.0,113270.0
0.850,31942.0,112955.0
0.860,31954.0,112916.0
0.870,31981.0,113037.0
0.880,32000.0,113182.0
0.890,32025.0,113194.0
0.900,32043.0,113516.0
0.910,32095.0,113683.0
0.920,32096.0,113829.0
0.930,32113.0,113900.0
0.940,32149.0,114144.0
0.950,32211.0,114561.0
0.960,32241.0,114720.0
0.970,32023.0,112591.0
0.980,31234.0,110633.0
0.990,30978.0,110479.0
1.000,31200.0,112459.0
1.010,31685.0,114036.0
1.020,31842.0,114246.0
1.030,31782.0,113676.0
1.040,31640.0,114342.0
1.050,31877.0,115244.0
1.060,32040.0,115788.0
1.070,32152.0,116003.0
1.080,32182.0,116182.0
1.090,32186.0,116308.0
1.100,32222.0,116552.0
1.110,32281.0,116656.0
1.120,32290.0,116590.0
1.130,32304.0,116585.0
1.140,32323.0,116512.0
1.150,32272.0,116168.0
1.160,32211.0,115814.0
1.170,32156.0,115713.0
1.180,32139.0,115707.0
1.190,32117.0,115549.0
1.200,32067.0,115487.0
1.210,32040.0,115350.0
1.220,32026.0,115281.0
1.230,32012.0,115323.0
1.240,32011.0,115372.0
1.250,32014.0,115336.0
1.260,32011.0,115355.0
1.270,32009.0,115329.0
1.280,31993.0,115331.0
1.290,31988.0,115286.0
1.300,31948.0,114973.0
1.310,31934.0,114797.0
1.320,31900.0,114833.0
1.330,31907.0,114929.0
1.340,31908.0,114993.0
1.350,31907.0,115052.0
1.360,31904.0,115033.0
1.370,31889.0,114988.0
1.380,31886.0,114968.0
1.390,31871.0,114963.0
1.400,31866.0,114974.0
1.410,31858.0,114977.0
1.420,31866.0,115027.0
1.430,31885.0,115092.0
1.440,31879.0,114900.0
1.450,31835.0,114632.0
1.460,31827.0,114598.0
1.470,31825.0,114656.0
1.480,31839.0,114735.0
1.490,31852.0,114788.0
1.500,31841.0,114791.0
1.510,31832.0,114731.0
1.520,31819.0,114667.0
1.530,31822.0,114650.0
1.540,31836.0,114663.0
1.550,31815.0,114686.0
1.560,31818.0,114713.0
1.570,31824.0,114731.0
1.580,31817.0,114661.0
1.590,31755.0,114341.0
1.600,31718.0,114147.0
1.610,31690.0,114095.0
1.620,31690.0,114116.0
1.630,31673.0,114112.0
1.640,31687.0,114125.0
1.650,31694.0,114101.0
1.660,31677.0,114025.0
1.670,31675.0,113968.0
1.680,31658.0,113971.0
1.690,31642.0,113962.0
1.700,31641.0,113982.0
1.710,31645.0,113994.0
1.720,31639.0,114011.0
1.730,31610.0,113884.0
1.740,31582.0,113578.0
1.750,31545.0,113401.0
1.760,31567.0,113368.0
1.770,31567.0,113369.0
1.780,31565.0,113393.0
1.790,31553.0,113410.0
1.800,31565.0,113366.0
1.810,31544.0,113309.0
1.820,31529.0,113262.0
1.830,31539.0,113271.0
1.840,31524.0,113265.0
1.850,31530.0,113296.0
1.860,31527.0,113328.0
1.870,31535.0,113322.0
1.880,31533.0,113196.0
1.890,31491.0,112890.0
1.900,31470.0,112729.0
1.910,31442.0,112723.0
1.920,31442.0,112738.0
1.930,31456.0,112774.0
1.940,31460.0,112799.0
